	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
0	Hupo琥珀	-73.953575	40.742827	1007 50th Ave	Long Island City	11101	NY	['1007 50th Ave', 'Long Island City, NY 11101']		4.5	20
1	Chow House	-74.00072	40.72915	181 Bleecker St	New York	10012	NY	['181 Bleecker St', 'New York, NY 10012']	$$	4.5	339
2	Han Dynasty	-73.988074	40.732072	90 3rd Ave	New York	10003	NY	['90 3rd Ave', 'New York, NY 10003']	$$	4.0	1205
3	Joe's Shanghai	-73.9977602206654	40.7146691442891	9 Pell St	New York	10013	NY	['9 Pell St', 'New York, NY 10013']	$$	4.0	6000
4	Birds of a Feather	-73.960441	40.71442	191 Grand St	Brooklyn	11211	NY	['191 Grand St', 'Brooklyn, NY 11211']	$$	4.0	301
5	Wah Fung No 1 Fast Food	-73.99457	40.71735	79 Chrystie St	New York	10002	NY	['79 Chrystie St', 'New York, NY 10002']	$	4.5	1352
6	Xi'An Town	-73.95694	40.71841	165 Bedford Ave	Brooklyn	11211	NY	['165 Bedford Ave', 'Brooklyn, NY 11211']		4.0	41
7	China Xiang 中国湘	-73.9925113993899	40.7582902125633	360 W 42nd Street	New York	10036	NY	['360 W 42nd Street', 'New York, NY 10036']	$$	4.0	439
8	Café China	-73.9819464127197	40.7499225208569	13 E 37th St	New York	10016	NY	['13 E 37th St', 'New York, NY 10016']	$$	4.0	1578
9	Hunan Delight	-73.9780712127686	40.6755282563532	752 Union St	Brooklyn	11215	NY	['752 Union St', 'Brooklyn, NY 11215']	$$	4.0	292
10	Dun Huang - East Village	-73.98568	40.73081	300 E 12th St	New York	10003	NY	['300 E 12th St', 'New York, NY 10003']	$$	4.5	302
11	Kings Co Imperial	-73.95097	40.71512	20 Skillman Ave	Brooklyn	11211	NY	['20 Skillman Ave', 'Brooklyn, NY 11211']	$$	4.0	276
12	Momo King	-73.98617	40.6918	139 Lawrence St	Brooklyn	11201	NY	['139 Lawrence St', 'Brooklyn, NY 11201']		4.5	13
13	China Blue	-74.009958	40.724038	135 Watts St	New York	10013	NY	['135 Watts St', 'New York, NY 10013']	$$	4.0	674
14	China Express	-73.9501435	40.7061859	192 Union Ave	Brooklyn	11211	NY	['192 Union Ave', 'Brooklyn, NY 11211']	$	4.0	93
15	Three Times	-73.99104	40.73285	818 Broadway	New York	10003	NY	['818 Broadway', 'New York, NY 10003']		3.5	14
16	Noodle Village	-73.998803	40.714167	13 Mott St	New York	10013	NY	['13 Mott St', 'New York, NY 10013']	$	4.0	1051
17	Szechuan Garden	-73.967586	40.80053	239 W 105th St	New York	10025	NY	['239 W 105th St', 'New York, NY 10025']	$$	4.0	283
18	Lucky House Kitchen	-73.9351565390825	40.6838402152061	343 Lewis Ave	Brooklyn	11233	NY	['343 Lewis Ave', 'Brooklyn, NY 11233']	$	4.5	91
19	Tasty Hand-Pulled Noodles	-73.99787	40.7142	1 Doyers St	New York	10013	NY	['1 Doyers St', 'New York, NY 10013']	$	4.0	1573
20	Shu Jiao Fu Zhou Cuisine Restaurant	-73.9916928979573	40.7184290357839	118 Eldridge St	New York	10002	NY	['118 Eldridge St', 'New York, NY 10002']	$	4.5	795
21	Han Dynasty	-73.9825977757573	40.6911319610036	1 Dekalb Ave	Brooklyn	11201	NY	['1 Dekalb Ave', 'Brooklyn, NY 11201']	$$	4.0	244
22	Lazy Siu's	-73.96077	40.71261	742 Driggs Ave	Brooklyn	11211	NY	['742 Driggs Ave', 'Brooklyn, NY 11211']		5.0	26
23	88 Lan Zhou Handmade Noodle	-73.99675	40.7155	40 Bowery St	New York	10013	NY	['40 Bowery St', 'New York, NY 10013']	$	4.0	1782
24	Uncle Ted's Modern Chinese Cuisine	-73.999961	40.72882	163 Bleecker St	New York	10012	NY	['163 Bleecker St', 'New York, NY 10012']	$$	3.5	451
25	Zhen Wei Fang	-73.99343	40.72128	207 Bowery	New York	10002	NY	['207 Bowery', 'New York, NY 10002']		4.0	169
26	Xifu Food	-73.9819963	40.6880326	318 Livingston St	Brooklyn	11217	NY	['318 Livingston St', 'Brooklyn, NY 11217']	$	4.5	128
27	Szechuan Mountain House	-73.98858	40.72911	23 St Marks Pl	New York	10003	NY	['23 St Marks Pl', 'New York, NY 10003']	$$	4.0	303
28	Clay Pot - East Village	-73.9865907985248	40.7279880270274	58 St Mark's Pl	New York	10003	NY	"[""58 St Mark's Pl"", 'New York, NY 10003']"	$$	4.0	298
