	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
0	Benemon	-73.98838	40.72551	108 E 4th St	New York	10003	NY	['108 E 4th St', 'New York, NY 10003']	$$	4.5	529
1	DOMODOMO New York	-74.00167	40.72803	140 W Houston St	New York	10012	NY	['140 W Houston St', 'New York, NY 10012']	$$$	4.5	1024
2	Raku	-73.9866526052356	40.7264988089246	342 E 6th St	New York	10003	NY	['342 E 6th St', 'New York, NY 10003']	$$	4.5	1009
3	KYURAMEN	-73.83339	40.76051	133-42 37th Ave	Flushing	11354	NY	['133-42 37th Ave', 'Flushing, NY 11354']	$$	4.5	129
4	Chikarashi Isso	-74.01455	40.70836	38 Rector St	New York	10006	NY	['38 Rector St', 'New York, NY 10006']		5.0	1
5	Aoi Kitchen	-73.98754333	40.72683167	320 E 6th St	New York	10003	NY	['320 E 6th St', 'New York, NY 10003']		4.5	22
6	Ootoya Chelsea	-73.992778	40.738767	8 W 18th St	New York	10011	NY	['8 W 18th St', 'New York, NY 10011']	$$	4.0	1371
7	Izakaya Juraku	-73.9887088537216	40.7196796287355	121 Ludlow St	New York	10002	NY	['121 Ludlow St', 'New York, NY 10002']	$$	4.5	82
8	Mojo Omakase	-74.0027927	40.7450569	177 9th Ave	New York	10011	NY	['177 9th Ave', 'New York, NY 10011']		5.0	1
9	Katsu-Hama	-73.97759	40.75638	11 E 47th St	New York	10017	NY	['11 E 47th St', 'New York, NY 10017']	$$	4.0	1274
10	Okonomi	-73.9487843	40.712622	150 Ainslie St	Brooklyn	11211	NY	['150 Ainslie St', 'Brooklyn, NY 11211']	$$	4.5	448
11	Tonkatsu Matsunoya	-73.9741592407227	40.7533493041992	131 E 45th St	New York	10017	NY	['131 E 45th St', 'New York, NY 10017']	$$	4.0	380
12	Kaikagetsu NYC	-73.98848	40.72104	162 Orchard St	New York	10002	NY	['162 Orchard St', 'New York, NY 10002']		4.5	52
13	Sakagura	-73.9729489318165	40.7516467024541	211 E 43rd St	New York	10017	NY	['211 E 43rd St', 'New York, NY 10017']	$$$	4.0	1770
14	Izakaya MEW	-73.9863203465939	40.7501853096499	53 W 35th St	New York	10001	NY	['53 W 35th St', 'New York, NY 10001']	$$	4.0	2223
15	Fukurou	-74.00143	40.72905	87 MacDougal St	New York	10012	NY	['87 MacDougal St', 'New York, NY 10012']	$$	4.0	310
16	Izakaya Fuku	-73.89383	40.74635	71-28 Roosevelt Ave	Jackson Heights	11372	NY	['71-28 Roosevelt Ave', 'Jackson Heights, NY 11372']	$$	4.5	25
17	nonono	-73.98499	40.74545	118 Madison Ave	New York	10016	NY	['118 Madison Ave', 'New York, NY 10016']	$$	4.5	612
18	Raku	-74.00252	40.72728	48 Macdougal St	New York	10012	NY	['48 Macdougal St', 'New York, NY 10012']	$$	4.5	324
19	Kaoru	-73.96977	40.75202	306 E 46th St	New York	10017	NY	['306 E 46th St', 'New York, NY 10017']	$$	4.5	323
20	Takeshi Sushi	-74.00464	40.72294	28 Grand St	New York	10013	NY	['28 Grand St', 'New York, NY 10013']		4.5	72
21	Nami Nori	-74.003212	40.730284	33 Carmine St	New York	10014	NY	['33 Carmine St', 'New York, NY 10014']		4.0	59
22	Pado	-73.98589	40.7314	199 2nd Ave	New York	10003	NY	['199 2nd Ave', 'New York, NY 10003']	$$	4.5	258
23	Ume Williamsburg	-73.96559	40.71657	237 Kent Ave	Brooklyn	11249	NY	['237 Kent Ave', 'Brooklyn, NY 11249']		4.0	138
24	Otaku Katsu	-73.986529	40.719384	137 Rivington St	New York	10002	NY	['137 Rivington St', 'New York, NY 10002']		4.5	31
25	Bozu	-73.95749	40.7129	296 Grand St	Brooklyn	11211	NY	['296 Grand St', 'Brooklyn, NY 11211']	$$	4.0	818
26	Ise Restaurant	-73.9900618	40.7291024	63 Cooper Sq	New York	10003	NY	['63 Cooper Sq', 'New York, NY 10003']	$$	4.5	431
27	Hakata Tonton	-74.003326	40.733234	61 Grove St	New York	10014	NY	['61 Grove St', 'New York, NY 10014']	$$	4.0	995
28	Wasan Brooklyn	-73.9768418	40.6812605	440 Bergen St	Brooklyn	11217	NY	['440 Bergen St', 'Brooklyn, NY 11217']	$$	4.0	190
29	Momokawa	-73.9537	40.77047	1466 1st Ave	New York	10075	NY	['1466 1st Ave', 'New York, NY 10075']	$$$	4.0	139
30	hanon	-73.9513445	40.7134488	436 Union Ave	Brooklyn	11211	NY	['436 Union Ave', 'Brooklyn, NY 11211']	$$	4.5	87
31	Ronin Stones	-73.9850056652613	40.7194449632749	69 Clinton St	New York	10002	NY	['69 Clinton St', 'New York, NY 10002']		5.0	10
32	Samurai Mama	-73.960325717926	40.7140208838114	205 Grand St	Brooklyn	11211	NY	['205 Grand St', 'Brooklyn, NY 11211']	$$	4.0	582
33	Suzuki Shokudo	-73.93184	40.75353	38-01 31st St	Long Island City	11101	NY	['38-01 31st St', 'Long Island City, NY 11101']	$$	4.5	117
34	Hatsuhana Sushi Restaurant	-73.97692	40.75703	17 E 48th St	New York	10017	NY	['17 E 48th St', 'New York, NY 10017']	$$$	4.0	1297
35	Unagi	-73.99601	40.72084	60 Kenmare St	New York	10012	NY	['60 Kenmare St', 'New York, NY 10012']		4.0	49
36	Sankaku Bar	-74.00986	40.72241	428 Greenwich St	New York	10013	NY	['428 Greenwich St', 'New York, NY 10013']		5.0	2
37	Sakagura East Village	-73.98785	40.72956	231 E 9th St	New York	10003	NY	['231 E 9th St', 'New York, NY 10003']	$$$	4.0	29
38	Yopparai	-73.98571	40.71919	151 Rivington St	New York	10002	NY	['151 Rivington St', 'Fl 1', 'New York, NY 10002']	$$$	4.5	222
39	shabushabu Mayumon	-73.99205	40.71434	115 Division St	New York	10002	NY	['115 Division St', 'New York, NY 10002']		5.0	8
40	Yakitori TORA	-73.9963	40.72095	72 Kenmare St	New York	10012	NY	['72 Kenmare St', 'New York, NY 10012']	$$$	4.0	124
41	DOMODOMO Jersey City	-74.03473	40.71961	200 Greene St	Jersey City	07302	NJ	['200 Greene St', 'Jersey City, NJ 07302']		4.0	84
42	Kyo Ya	-73.98534	40.7267	94 E 7th St	New York	10009	NY	['94 E 7th St', 'New York, NY 10009']	$$$$	4.5	451
43	Sapps	-73.94008	40.74762	27-26 Jackson Ave	Long Island City	11101	NY	['27-26 Jackson Ave', 'Long Island City, NY 11101']	$$	4.0	146
44	Salt + Charcoal	-73.9613511	40.71453	171 Grand St	Brooklyn	11249	NY	['171 Grand St', 'Brooklyn, NY 11249']	$$	4.0	432
45	Suteishi	-74.00194	40.70788	24 Peck Slip	New York	10038	NY	['24 Peck Slip', 'New York, NY 10038']	$$$	4.0	480
46	Izakaya	-73.98738	40.72667	326 E 6th St	New York	10003	NY	['326 E 6th St', 'New York, NY 10003']	$$	4.0	246
47	Ichibantei	-73.98275	40.73063	401 E 13th St	New York	10009	NY	['401 E 13th St', 'New York, NY 10009']	$$	4.0	202
48	Rabbit House Japanese Tapas & Sake Bar	-73.99329	40.71725	76 Forsyth St	New York	10002	NY	['76 Forsyth St', 'New York, NY 10002']	$$	4.5	218
49	Sushi by Bou Times Square	-73.98322	40.75851	132 W 47th St	New York	10036	NY	['132 W 47th St', 'New York, NY 10036']	$$$	4.5	528
50	Takashi	-74.0065048	40.7313524	456 Hudson St	New York	10014	NY	['456 Hudson St', 'New York, NY 10014']	$$$	4.0	976
51	Koji Izakaya	-73.98641	40.69195	140 Lawrence St	Brooklyn	11201	NY	['140 Lawrence St', 'Brooklyn, NY 11201']	$$	4.0	56
52	Ootoya Greenwich Village	-73.99273	40.73316	41 E 11th St	New York	10003	NY	['41 E 11th St', 'New York, NY 10003']	$$	4.0	304
53	Davelle	-73.98605	40.71852	102 Suffolk St	New York	10002	NY	['102 Suffolk St', 'New York, NY 10002']	$$	4.0	103
54	DokoDemo	-73.98964	40.72638	89 E 4th St	New York	10003	NY	['89 E 4th St', 'New York, NY 10003']	$	4.5	281
55	Yakitori Totto	-73.983114	40.765375	251 W 55th St	New York	10019	NY	['251 W 55th St', 'Fl 2', 'New York, NY 10019']	$$$	4.0	1290
56	Soba-ya	-73.9878845214844	40.7296485900879	229 E 9th St	New York	10003	NY	['229 E 9th St', 'New York, NY 10003']	$$	4.0	1452
57	Okuda	-74.0063984206981	40.7437929363044	458 W 17th St	New York	10011	NY	['458 W 17th St', 'New York, NY 10011']	$$$$	5.0	29
58	Shigure	-74.00477	40.71853	277 Church St	New York	10013	NY	['277 Church St', 'New York, NY 10013']	$$	4.0	107
59	Yakiniku Futago	-73.9941236398979	40.738851870947	37 W 17th St	New York	10011	NY	['37 W 17th St', 'New York, NY 10011']	$$$$	4.5	324
60	Bessou	-73.992675	40.725502	5 Bleecker St	New York	10012	NY	['5 Bleecker St', 'New York, NY 10012']	$$	4.0	236
61	Mori	-73.983902	40.671718	351 5th Ave	Brooklyn	11215	NY	['351 5th Ave', 'Brooklyn, NY 11215']	$$	4.5	91
62	Norikoh	-73.99137	40.7433	43 W 24th St	New York	10010	NY	['43 W 24th St', 'New York, NY 10010']		4.0	20
63	Kura	-73.9835794	40.726709	130 St Marks Pl	New York	10009	NY	['130 St Marks Pl', 'New York, NY 10009']	$$$$	4.5	463
64	Ootoya Times Square	-73.98599	40.75487	141 W 41st St	New York	10036	NY	['141 W 41st St', 'New York, NY 10036']	$$	4.0	904
65	Douzo	-73.9908998	40.7191369	63 Delancey St	New York	10002	NY	['63 Delancey St', 'New York, NY 10002']		5.0	37
66	Sake Bar Hagi 46	-73.99008	40.76057	358 W 46th St	New York	10036	NY	['358 W 46th St', 'New York, NY 10036']	$$	4.0	278
67	Cocoron	-73.9953191	40.7207236	37 Kenmare St	New York	10012	NY	['37 Kenmare St', 'New York, NY 10012']	$$	4.0	626
68	Tsurutontan Udon Noodle Brasserie	-73.9910699	40.73678	21 E 16th St	New York	10003	NY	['21 E 16th St', 'New York, NY 10003']	$$	4.0	1770
69	Sai	-73.8636	40.73012	95-34 Queens Blvd	Rego Park	11374	NY	['95-34 Queens Blvd', 'Rego Park, NY 11374']	$$	5.0	83
70	Natsumi Tapas	-73.9824123	40.7395565	323 3rd Ave	New York	10010	NY	['323 3rd Ave', 'New York, NY 10010']	$$	4.0	248
71	Takahachi	-73.984436	40.725315	85 Ave A	New York	10009	NY	['85 Ave A', 'New York, NY 10009']	$$	4.0	550
72	House of Small Wonder	-73.9606090848567	40.7188839655893	77 N 6th St	Brooklyn	11211	NY	['77 N 6th St', 'Brooklyn, NY 11211']	$$	4.0	706
73	U-gu	-73.96284	40.69393	541 Myrtle Ave	Brooklyn	11205	NY	['541 Myrtle Ave', 'Ste B', 'Brooklyn, NY 11205']	$$	4.5	125
74	Karasu	-73.973256	40.689411	166 Dekalb Ave	Brooklyn	11217	NY	"['166 Dekalb Ave', ""Walter's"", 'Brooklyn, NY 11217']"	$$$	4.0	93
75	Toribei	-73.9820596277137	40.6745180177706	276 5th Ave	Brooklyn	11215	NY	['276 5th Ave', 'Brooklyn, NY 11215']		4.5	35
76	Rice & Miso	-73.9837776124477	40.6845436245203	134 Nevins St	Brooklyn	11217	NY	['134 Nevins St', 'Brooklyn, NY 11217']	$$	4.5	64
77	Wokuni	-73.9773529	40.7492189	327 Lexington Ave	New York	10016	NY	['327 Lexington Ave', 'New York, NY 10016']	$$$	4.0	198
78	Taro Sushi	-73.9743090899592	40.6796449843722	244 Flatbush Ave	Brooklyn	11217	NY	['244 Flatbush Ave', 'Brooklyn, NY 11217']	$$	4.0	520
79	Niche	-73.98518	40.71786	172 Delancey St	New York	10002	NY	['172 Delancey St', 'New York, NY 10002']	$$	4.0	85
80	Hinoki Restaurant & Bar	-73.843301	40.719715	71-37 Austin St	Forest Hills	11375	NY	['71-37 Austin St', 'Forest Hills, NY 11375']	$$	4.0	91
81	Zenkichi New York	-73.96081	40.71897	77 N 6th St	Brooklyn	11249	NY	['77 N 6th St', 'Brooklyn, NY 11249']	$$$	4.0	977
82	Shuraku	-74.0040071109515	40.7385446555585	47 8th Ave	New York	10014	NY	['47 8th Ave', 'New York, NY 10014']	$$$	4.5	76
83	Suki	-73.98608	40.72702	86 E 7th St	New York	10003	NY	['86 E 7th St', 'New York, NY 10003']	$$	4.5	96
84	Katsu-Hama	-73.97677	40.76254	45 W 55th St	New York	10019	NY	['45 W 55th St', 'Fl 2', 'New York, NY 10019']	$$	3.5	502
85	Shabu-Tatsu East Village	-73.98585	40.72927	216 E 10th St	New York	10003	NY	['216 E 10th St', 'New York, NY 10003']	$$	4.0	627
86	Chiko	-73.95422	40.7319	954 Manhattan Ave	Brooklyn	11222	NY	['954 Manhattan Ave', 'Brooklyn, NY 11222']		5.0	36
87	Matsuri	-73.9035436	40.7458357	39-56 61st St	Woodside	11377	NY	['39-56 61st St', 'Woodside, NY 11377']	$$	4.5	112
88	Go Go Curry America	-73.98759	40.76444	366 W 52nd St	New York	10019	NY	['366 W 52nd St', 'New York, NY 10019']		5.0	2
89	UOGASHI	-73.98671	40.76326	318 West 51st St	New York	10019	NY	['318 West 51st St', 'New York, NY 10019']		4.5	58
90	Sushi Lin	-73.972591	40.677786	335 Flatbush Ave	Brooklyn	11217	NY	['335 Flatbush Ave', 'Brooklyn, NY 11217']	$$$	4.5	243
91	Toriko NY	-74.00466	40.72943	76 Carmine St	New York	10014	NY	['76 Carmine St', 'New York, NY 10014']	$$$$	3.5	66
92	Uotora	-73.950486	40.676369	1075 Bergen St	Brooklyn	11216	NY	['1075 Bergen St', 'Brooklyn, NY 11216']	$$	4.5	80
