	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
0	Nowon	-73.98334	40.72532	507 East 6th St	New York	10009	NY	['507 East 6th St', 'New York, NY 10009']		4.5	11
1	Woorijip	-73.98648	40.74747	12 W 32nd St	New York	10001	NY	['12 W 32nd St', 'New York, NY 10001']	$	4.0	2601
2	Barn Joo 35	-73.98582	40.74964	34 W 35th St	New York	10001	NY	['34 W 35th St', 'New York, NY 10001']	$$	4.5	1841
3	Zusik	-74.00029	40.73864	202 W14th St	New York	10011	NY	['202 W14th St', 'New York, NY 10011']	$$	4.5	124
4	Chingoo Restaurant	-73.944733	40.715796	373 Graham Ave	Brooklyn	11211	NY	['373 Graham Ave', 'Brooklyn, NY 11211']		4.5	9
5	Barn Joo	-73.99069	40.73684	35 Union Sq W	New York	10003	NY	['35 Union Sq W', 'New York, NY 10003']	$$	4.0	1561
6	SSAM	-73.991274	40.68594	170 Smith St	Brooklyn	11201	NY	['170 Smith St', 'Brooklyn, NY 11201']	$$	3.5	391
7	Cho Dang Gol Korean Restaurant	-73.986198425293	40.7502365112305	55 W 35th St	New York	10001	NY	['55 W 35th St', 'New York, NY 10001']	$$	4.0	1052
8	K'OOK	-73.98738	40.72682	324 E 6th St	New York	10003	NY	['324 E 6th St', 'New York, NY 10003']	$$	4.0	417
9	Tofu Tofu	-73.9954301342368	40.7176299520983	96 Bowery	New York	10013	NY	['96 Bowery', 'New York, NY 10013']	$$	4.5	305
10	JUA	-73.987832	40.739694	36 E 22nd St	New York	10010	NY	['36 E 22nd St', 'New York, NY 10010']		5.0	1
11	Grand Seoul	-73.99435	40.7175	85 Chrystie St	New York	10002	NY	['85 Chrystie St', 'New York, NY 10002']	$$$	4.0	125
12	Haenyeo	-73.98116	40.67519	239 5th Ave	Brooklyn	11215	NY	['239 5th Ave', 'Brooklyn, NY 11215']		4.0	98
13	Five Senses	-73.9863122632311	40.747573158626	9 W 32nd St	New York	10001	NY	['9 W 32nd St', 'New York, NY 10001']	$$	4.0	1369
14	GunBae	-74.010223	40.714683	67 Murray St	New York	10007	NY	['67 Murray St', 'New York, NY 10007']	$$	4.0	260
15	Jongro BBQ	-73.986884	40.747514	22 W 32nd St	New York	10001	NY	['22 W 32nd St', 'Fl 2', 'New York, NY 10001']	$$	4.0	1849
16	Thursday Kitchen	-73.9838	40.7275	424 E 9th St	New York	10009	NY	['424 E 9th St', 'New York, NY 10009']	$$	4.5	1275
17	Yoon Haeundae Galbi	-73.98442	40.74997	8 W 36th St	New York	10018	NY	['8 W 36th St', 'New York, NY 10018']	$$$	4.5	349
18	Sik Gaek	-73.9148356	40.743485	49-11 Roosevelt Ave	Woodside	11377	NY	['49-11 Roosevelt Ave', 'Woodside, NY 11377']	$$	4.0	560
19	The Jin	-73.98874	40.76857	856 10th Ave	New York	10019	NY	['856 10th Ave', 'New York, NY 10019']	$$	4.5	197
20	BCD Tofu House	-73.9862447208321	40.747503631444	5W 32nd St	New York	10001	NY	['5W 32nd St', 'New York, NY 10001']	$$	4.0	1970
21	JeJu Noodle Bar	-74.00734	40.73304	679 Greenwich St	New York	10014	NY	['679 Greenwich St', 'New York, NY 10014']	$$	4.5	491
22	Oiji	-73.98585	40.72727	119 1st Ave	New York	10003	NY	['119 1st Ave', 'New York, NY 10003']	$$$	4.5	496
23	Itaewon	-73.9867554408843	40.7475125111924	28 W 32nd St	New York	10001	NY	['28 W 32nd St', 'Fl 2', 'New York, NY 10001']	$$	4.5	93
24	Her Name Is Han	-73.98473	40.74626	17 E 31st St	New York	10016	NY	['17 E 31st St', 'New York, NY 10016']	$$	4.0	1149
25	KAL	-73.91859	40.76584	34-05 30th Ave	Astoria	11103	NY	['34-05 30th Ave', 'Astoria, NY 11103']	$$	4.5	133
26	HANKI Everyday Korean	-73.978986851871	40.6702019428734	226 7th Ave	Brooklyn	11215	NY	['226 7th Ave', 'Brooklyn, NY 11215']	$$	4.0	100
27	Anytime	-73.98674	40.74779	23 W 32nd St	New York	10001	NY	['23 W 32nd St', 'Fl 3', 'New York, NY 10001']	$$	4.5	1071
28	Dotory	-73.9556983116741	40.7077639892315	353 Broadway	Brooklyn	11211	NY	['353 Broadway', 'Brooklyn, NY 11211']	$$	4.0	168
29	Silver Factory	-73.958598	40.709227	270 South 5th St	Brooklyn	11211	NY	['270 South 5th St', 'Brooklyn, NY 11211']	$$	4.5	178
30	Tiger Box	-73.972758	40.6963379	169 Park Ave	Brooklyn	11205	NY	['169 Park Ave', 'Brooklyn, NY 11205']	$	4.5	55
31	Kochi	-73.99351	40.76201	652 10th Ave	New York	10036	NY	['652 10th Ave', 'New York, NY 10036']		5.0	13
32	Bap	-73.97802	40.74618	516A 3rd Ave	New York	10016	NY	['516A 3rd Ave', 'New York, NY 10016']	$$	4.5	117
33	Hahm Ji Bach	-73.814917	40.763106	40-11 149th Pl	Flushing	11354	NY	['40-11 149th Pl', 'Flushing, NY 11354']	$$	4.0	1115
34	99 Favor Taste	-74.114185	40.572994	201 New Dorp Ln	Staten Island	10306	NY	['201 New Dorp Ln', 'Staten Island, NY 10306']	$$	4.5	45
35	Kimbap Lab	-73.95974	40.71611	238 Bedford Ave	Brooklyn	11249	NY	['238 Bedford Ave', 'Brooklyn, NY 11249']	$$	5.0	35
36	Hee Korean BBQ Grill	-73.9912872	40.7454185	793 6th Ave	New York	10001	NY	['793 6th Ave', 'New York, NY 10001']	$$	4.0	303
37	Jungsik	-74.0088844299316	40.7185910158738	2 Harrison St	New York	10013	NY	['2 Harrison St', 'New York, NY 10013']	$$$$	4.5	573
38	Mokja	-73.9492703	40.7774361	1663 1st Ave	New York	10028	NY	['1663 1st Ave', 'New York, NY 10028']	$$	4.0	122
39	Slow Loris	-73.9607934	40.6601311	556 Flatbush Ave	Brooklyn	11225	NY	['556 Flatbush Ave', 'Brooklyn, NY 11225']	$$	4.0	79
40	Bangia	-73.9845201	40.746854	11 E 32nd St	New York	10016	NY	['11 E 32nd St', 'New York, NY 10016']	$$	4.0	352
41	Take31	-73.984809	40.7463	15 E 31st St	New York	10016	NY	['15 E 31st St', 'New York, NY 10016']	$$	4.0	570
42	Ejen Korean Comfort Food	-74.0082717	40.6564113	254 36th St	Brooklyn	11232	NY	['254 36th St', 'Brooklyn, NY 11232']	$$	4.5	40
43	The Woo	-74.00371	40.7253	206 Spring St	New York	10012	NY	['206 Spring St', 'New York, NY 10012']		4.0	64
44	K-Bap	-73.97717	40.76332	62 W 56th St	New York	10019	NY	['62 W 56th St', 'New York, NY 10019']	$$	4.0	357
45	Bulbap Grill	-73.9509099	40.7243	646 Manhattan Ave	Brooklyn	11222	NY	['646 Manhattan Ave', 'Brooklyn, NY 11222']	$$	4.5	125
46	Kang Ho Dong Baekjeong	-73.9852144232788	40.747173576622	1 E 32nd St	New York	10016	NY	['1 E 32nd St', 'New York, NY 10016']	$$$	4.0	1212
